SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker,ESG_environment,ESG_social,ESG_governance
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA,57,64,64
Apple Inc. ESG Score,45,Location: United States of America,Industry: THQ Computers & Peripherals and Office Electronics,Ticker: AAPL,54,44,37
Microsoft Corporation ESG Score,56,Location: United States of America,Industry: SOF Software,Ticker: MSFT,73,44,58
Alphabet Inc. ESG Score,47,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: GOOGL,66,51,31
"Amazon.com, Inc. ESG Score",24,Location: United States of America,Industry: RTS Retailing,Ticker: AMZN,34,17,23
"Meta Platforms, Inc. ESG Score",30,Location: United States of America,"Industry: IMS Interactive Media, Services & Home Entertainment",Ticker: META,58,18,28
"Tesla, Inc. ESG Score",37,Location: United States of America,Industry: AUT Automobiles,Ticker: TSLA,52,23,36
Berkshire Hathaway Inc. ESG Score,15,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BRK.A,8,14,17
Broadcom Inc. ESG Score,36,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: AVGO,32,40,38
Eli Lilly and Company ESG Score,39,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: LLY,56,33,37
Walmart Inc. ESG Score,52,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: WMT,67,36,53
JPMorgan Chase & Co. ESG Score,35,Location: United States of America,Industry: BNK Banks,Ticker: JPM,39,36,33
Visa Inc. ESG Score,57,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: V,85,64,43
UnitedHealth Group Incorporated ESG Score,51,Location: United States of America,Industry: HEA Health Care Providers & Services,Ticker: UNH,58,61,38
Exxon Mobil Corporation ESG Score,38,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: XOM,33,34,47
Oracle Corporation ESG Score,41,Location: United States of America,Industry: SOF Software,Ticker: ORCL,59,33,38
Mastercard Incorporated ESG Score,57,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MA,84,47,54
Costco Wholesale Corporation ESG Score,41,Location: United States of America,Industry: FDR Food & Staples Retailing,Ticker: COST,54,34,35
"The Home Depot, Inc. ESG Score",38,Location: United States of America,Industry: RTS Retailing,Ticker: HD,40,28,46
The Procter & Gamble Company ESG Score,37,Location: United States of America,Industry: HOU Household Products,Ticker: PG,51,26,37
Johnson & Johnson ESG Score,24,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: JNJ,49,23,16
Bank of America Corporation ESG Score,52,Location: United States of America,Industry: BNK Banks,Ticker: BAC,56,53,50
"Netflix, Inc. ESG Score",28,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: NFLX,36,23,32
"Salesforce, Inc. ESG Score",61,Location: United States of America,Industry: SOF Software,Ticker: CRM,71,49,68
AbbVie Inc. ESG Score,69,Location: United States of America,Industry: BTC Biotechnology,Ticker: ABBV,63,74,65
"T-Mobile US, Inc. ESG Score",49,Location: United States of America,Industry: TLS Telecommunication Services,Ticker: TMUS,64,43,47
Chevron Corporation ESG Score,41,Location: United States of America,Industry: OGX Oil & Gas Upstream & Integrated,Ticker: CVX,41,51,34
The Coca-Cola Company ESG Score,48,Location: United States of America,Industry: BVG Beverages,Ticker: KO,56,44,42
"Merck & Co., Inc. ESG Score",52,Location: United States of America,Industry: DRG Pharmaceuticals,Ticker: MRK,54,54,49
Wells Fargo & Company ESG Score,38,Location: United States of America,Industry: BNK Banks,Ticker: WFC,45,38,36
"Cisco Systems, Inc. ESG Score",67,Location: United States of America,Industry: CMT Communications Equipment,Ticker: CSCO,73,66,62
"Advanced Micro Devices, Inc. ESG Score",50,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: AMD,44,50,56
Adobe Inc. ESG Score,57,Location: United States of America,Industry: SOF Software,Ticker: ADBE,66,45,63
"PepsiCo, Inc. ESG Score",47,Location: United States of America,Industry: BVG Beverages,Ticker: PEP,53,46,41
Accenture plc ESG Score,54,Location: Ireland,Industry: TSV IT services,Ticker: ACN,68,44,55
Blackstone Inc. ESG Score,27,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: BX,22,23,32
Linde plc ESG Score,79,Location: United Kingdom of Great Britain and Northern Ireland,Industry: CHM Chemicals,Ticker: LIN,87,75,72
"ServiceNow, Inc. ESG Score",57,Location: United States of America,Industry: SOF Software,Ticker: NOW,59,52,61
McDonald's Corporation ESG Score,30,Location: United States of America,Industry: REX Restaurants & Leisure Facilities,Ticker: MCD,45,19,33
Morgan Stanley ESG Score,37,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: MS,50,38,33
Thermo Fisher Scientific Inc. ESG Score,50,Location: United States of America,Industry: LIF Life Sciences Tools & Services,Ticker: TMO,60,44,51
American Express Company ESG Score,44,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: AXP,44,38,47
Abbott Laboratories ESG Score,64,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ABT,66,66,60
Intuit Inc. ESG Score,46,Location: United States of America,Industry: SOF Software,Ticker: INTU,52,32,57
International Business Machines Corporation ESG Score,60,Location: United States of America,Industry: TSV IT services,Ticker: IBM,76,49,60
Texas Instruments Incorporated ESG Score,43,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: TXN,38,47,45
Philip Morris International Inc. ESG Score,74,Location: United States of America,Industry: TOB Tobacco,Ticker: PM,91,73,60
"Intuitive Surgical, Inc. ESG Score",33,Location: United States of America,Industry: MTC Health Care Equipment & Supplies,Ticker: ISRG,27,27,42
Caterpillar Inc. ESG Score,41,Location: United States of America,Industry: IEQ Machinery and Electrical Equipment,Ticker: CAT,39,43,40
"The Goldman Sachs Group, Inc. ESG Score",39,Location: United States of America,Industry: FBN Diversified Financial Services and Capital Markets,Ticker: GS,41,31,45
The Walt Disney Company ESG Score,43,Location: United States of America,"Industry: PUB Media, Movies & Entertainment",Ticker: DIS,51,36,48
QUALCOMM Incorporated ESG Score,62,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: QCOM,60,58,65
