SnP_ESG_Company,SnP_ESG_Score,SnP_ESG_Country,SnP_ESG_Industry,SnP_ESG_Ticker
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA
NVIDIA Corporation ESG Score,61,Location: United States of America,Industry: SEM Semiconductors & Semiconductor Equipment,Ticker: NVDA
,,
,,
,,
,,
,,
,,
Aalberts NV,21.5,Machinery
NVIDIA Corp.,12.2,Semiconductors
Aalberts NV,21.5,Machinery
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
,,
Aalberts NV,21.5,Machinery
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
Procter & Gamble Co.,25.1,Household Products
,,
Procter & Gamble Co.,25.1,Household Products
"Mastercard, Inc.",16.1,Software & Services
"Mastercard, Inc.",16.1,Software & Services
,,
,,
"Mastercard, Inc.",16.1,Software & Services
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
,,
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
"Apple, Inc.",16.8,Technology Hardware
NVIDIA Corp.,12.2,Semiconductors
"Apple, Inc.",16.8,Technology Hardware
,,
,,
,,
,,
,,
,,
Microsoft Corp.,14.2,Software & Services
,,
,,
Microsoft Corp.,14.2,Software & Services
,,
,,
,,
Microsoft Corp.,14.2,Software & Services
,,
,,
,,
,,
Microsoft Corp.,14.2,Software & Services
,,
,,
,,
NVIDIA Corp.,12.2,Semiconductors
NVIDIA Corp.,12.2,Semiconductors
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
,,
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
NVIDIA Corp.,12.2,Semiconductors
,,
,,
"Apple, Inc.",16.8,Technology Hardware
NVIDIA Corp.,12.2,Semiconductors
"Apple, Inc.",16.8,Technology Hardware
NVIDIA Corp.,12.2,Semiconductors
"Apple, Inc.",16.8,Technology Hardware
Microsoft Corp.,14.2,Software & Services
,,
"Alphabet, Inc.",23.9,Software & Services
NVIDIA Corp.,12.2,Semiconductors
"Apple, Inc.",16.8,Technology Hardware
Microsoft Corp.,14.2,Software & Services
,,
"Alphabet, Inc.",23.9,Software & Services
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
NVIDIA Corp,75,67,72,88
NVIDIA Corp,75,67,72,88
NVIDIA Corp,75,67,72,88
NVIDIA Corp,75,67,72,88
NVIDIA Corp,75,67,72,88
NVIDIA Corp,75,67,72,88
Apple Inc,78,68,75,91
