LSEG_ESG_Company,LSEG_ESG_Score,LSEG_Environment,LSEG_Social,LSEG_Governance
Vulcan Materials Company,48,66,39,30
Arch Capital Group Ltd.,59,63,60,64
Sysco Corporation,75,70,75,81
"Yum! Brands, Inc.",80,87,90,57
"Martin Marietta Materials, Inc.",42,18,39,88
The Hershey Company,N/A,N/A,N/A,N/A
ResMed Inc.,68,74,87,40
Microchip Technology Incorporated,61,70,67,43
Nucor Corporation,54,54,65,34
Extra Space Storage Inc.,63,72,82,35
HP Inc.,77,62,80,84
Las Vegas Sands Corp.,70,87,64,64
"General Mills, Inc.",78,86,91,44
M&T Bank Corporation,83,91,81,86
"IDEXX Laboratories, Inc.",71,69,85,55
"DuPont de Nemours, Inc.",71,73,68,74
Westinghouse Air Brake Technologies Corporation,72,68,85,59
"The Hartford Financial Services Group, Inc.",N/A,N/A,N/A,N/A
Humana Inc.,71,72,64,79
"Consolidated Edison, Inc.",66,57,67,80
Iron Mountain Incorporated,73,75,74,70
Equifax Inc.,45,40,32,67
Carnival Corporation & plc,N/A,N/A,N/A,N/A
"Raymond James Financial, Inc.",57,78,58,51
VICI Properties Inc.,72,76,65,75
"AvalonBay Communities, Inc.",70,70,79,62
"Brown & Brown, Inc.",33,24,40,33
Edison International,78,60,87,96
Entergy Corporation,50,39,54,65
Willis Towers Watson Public Limited Company,N/A,N/A,N/A,N/A
"Take-Two Interactive Software, Inc.",45,23,68,32
Fifth Third Bancorp,68,80,78,56
Dow Inc.,87,86,89,88
"Rockwell Automation, Inc.",62,75,59,51
"Monolithic Power Systems, Inc.",42,31,41,56
"WEC Energy Group, Inc.",60,65,60,49
"CoStar Group, Inc.",67,65,62,73
Xylem Inc.,82,76,81,91
"ANSYS, Inc.",57,62,82,33
"Live Nation Entertainment, Inc.",42,21,44,46
ON Semiconductor Corporation,64,53,71,64
"Cardinal Health, Inc.",75,71,74,80
Tractor Supply Company,77,80,69,83
Global Payments Inc.,41,45,47,32
Centene Corporation,71,63,78,66
eBay Inc.,74,48,73,82
"United Airlines Holdings, Inc.",56,43,52,78
"DexCom, Inc.",57,43,64,53
Equity Residential,64,71,66,54
"PPG Industries, Inc.",76,82,77,64
Hewlett Packard Enterprise Company,75,60,71,93
"Keysight Technologies, Inc.",70,85,85,35
Kellanova,N/A,N/A,N/A,N/A
"NVR, Inc.",34,23,16,76
State Street Corporation,80,84,76,83
Dover Corporation,66,80,46,76
LyondellBasell Industries N.V.,79,73,86,78
"Ventas, Inc.",78,84,69,79
Deckers Outdoor Corporation,61,65,68,47
"Leidos Holdings, Inc.",80,73,88,76
Mettler-Toledo International Inc.,76,72,72,88
Halliburton Company,83,85,93,67
"Broadridge Financial Solutions, Inc.",67,67,77,53
"Tyler Technologies, Inc.",64,40,60,74
"Church & Dwight Co., Inc.",72,69,76,67
"PulteGroup, Inc.",59,41,64,76
Smurfit Westrock Plc,82,78,84,85
GoDaddy Inc.,53,31,64,50
"T. Rowe Price Group, Inc.",N/A,N/A,N/A,N/A
EQT Corporation,41,33,40,54
"Corpay, Inc.",49,29,34,84
Fortive Corporation,67,60,66,75
"American Water Works Company, Inc.",N/A,N/A,N/A,N/A
Veralto Corporation,71,75,73,66
Huntington Bancshares Incorporated,74,85,78,69
CDW Corporation,51,31,50,68
Synchrony Financial,56,41,74,43
Devon Energy Corporation,53,44,68,39
DTE Energy Company,71,92,55,55
"NetApp, Inc.",64,53,59,83
"Rollins, Inc.",26,5,39,24
Archer-Daniels-Midland Company,78,71,80,82
Ameren Corporation,44,38,43,57
PPL Corporation,63,48,62,94
Biogen Inc.,76,81,86,58
Hubbell Incorporated,72,74,62,83
FirstEnergy Corp.,62,63,67,53
Regions Financial Corporation,80,87,78,84
"West Pharmaceutical Services, Inc.",80,47,83,91
Cincinnati Financial Corporation,56,51,55,70
SBA Communications Corporation,65,73,52,69
"Expedia Group, Inc.",51,74,55,24
PTC Inc.,63,63,79,50
W. R. Berkley Corporation,N/A,N/A,N/A,N/A
Waters Corporation,81,75,74,92
International Flavors & Fragrances Inc.,75,82,87,48
Atmos Energy Corporation,40,19,31,82
Teledyne Technologies Incorporated,41,39,47,39
"Warner Bros. Discovery, Inc.",58,43,70,48
The Estée Lauder Companies Inc.,N/A,N/A,N/A,N/A
"Tyson Foods, Inc.",70,63,71,75
Weyerhaeuser Company,83,81,74,95
Eversource Energy,72,86,78,39
Western Digital Corporation,61,58,69,47
STERIS plc,55,49,77,27
"Steel Dynamics, Inc.",59,65,45,73
"Zimmer Biomet Holdings, Inc.",65,39,82,53
Erie Indemnity Company,42,16,33,65
Packaging Corporation of America,70,76,64,70
Northern Trust Corporation,N/A,N/A,N/A,N/A
Seagate Technology Holdings plc,N/A,N/A,N/A,N/A
"Cboe Global Markets, Inc.",N/A,N/A,N/A,N/A
Zebra Technologies Corporation,N/A,N/A,N/A,N/A
Fox Corporation,N/A,N/A,N/A,N/A
"Builders FirstSource, Inc.",N/A,N/A,N/A,N/A
"McCormick & Company, Incorporated",N/A,N/A,N/A,N/A
Invitation Homes Inc.,N/A,N/A,N/A,N/A
"Citizens Financial Group, Inc.",N/A,N/A,N/A,N/A
Labcorp Holdings Inc.,N/A,N/A,N/A,N/A
The Clorox Company,N/A,N/A,N/A,N/A
CMS Energy Corporation,N/A,N/A,N/A,N/A
"The Cooper Companies, Inc.",N/A,N/A,N/A,N/A
Omnicom Group Inc.,N/A,N/A,N/A,N/A
"Essex Property Trust, Inc.",N/A,N/A,N/A,N/A
"Principal Financial Group, Inc.",N/A,N/A,N/A,N/A
International Paper Company,N/A,N/A,N/A,N/A
"CenterPoint Energy, Inc.",N/A,N/A,N/A,N/A
"Darden Restaurants, Inc.",N/A,N/A,N/A,N/A
"First Solar, Inc.",N/A,N/A,N/A,N/A
"J.B. Hunt Transport Services, Inc.",N/A,N/A,N/A,N/A
"Best Buy Co., Inc.",N/A,N/A,N/A,N/A
Insulet Corporation,N/A,N/A,N/A,N/A
Southwest Airlines Co.,N/A,N/A,N/A,N/A
"Mid-America Apartment Communities, Inc.",N/A,N/A,N/A,N/A
Brown-Forman Corporation,N/A,N/A,N/A,N/A
KeyCorp,N/A,N/A,N/A,N/A
"Alexandria Real Estate Equities, Inc.",N/A,N/A,N/A,N/A
Snap-on Incorporated,N/A,N/A,N/A,N/A
Gen Digital Inc.,N/A,N/A,N/A,N/A
"NRG Energy, Inc.",N/A,N/A,N/A,N/A
Coterra Energy Inc.,N/A,N/A,N/A,N/A
"Hologic, Inc.",N/A,N/A,N/A,N/A
FactSet Research Systems Inc.,N/A,N/A,N/A,N/A
Jacobs Solutions Inc.,N/A,N/A,N/A,N/A
"Molina Healthcare, Inc.",N/A,N/A,N/A,N/A
Ball Corporation,N/A,N/A,N/A,N/A
Quest Diagnostics Incorporated,N/A,N/A,N/A,N/A
Loews Corporation,N/A,N/A,N/A,N/A
"Ulta Beauty, Inc.",N/A,N/A,N/A,N/A
Trimble Inc.,N/A,N/A,N/A,N/A
"VeriSign, Inc.",N/A,N/A,N/A,N/A
"Teradyne, Inc.",N/A,N/A,N/A,N/A
News Corporation,N/A,N/A,N/A,N/A
IDEX Corporation,N/A,N/A,N/A,N/A
Baxter International Inc.,N/A,N/A,N/A,N/A
Pentair plc,N/A,N/A,N/A,N/A
Genuine Parts Company,N/A,N/A,N/A,N/A
Masco Corporation,N/A,N/A,N/A,N/A
NiSource Inc.,N/A,N/A,N/A,N/A
"Moderna, Inc.",N/A,N/A,N/A,N/A
Hormel Foods Corporation,N/A,N/A,N/A,N/A
Kimco Realty Corporation,N/A,N/A,N/A,N/A
"UDR, Inc.",N/A,N/A,N/A,N/A
"Expeditors International of Washington, Inc.",N/A,N/A,N/A,N/A
Dollar General Corporation,N/A,N/A,N/A,N/A
"Align Technology, Inc.",N/A,N/A,N/A,N/A
Avery Dennison Corporation,N/A,N/A,N/A,N/A
Textron Inc.,N/A,N/A,N/A,N/A
"Everest Group, Ltd.",N/A,N/A,N/A,N/A
Marathon Oil Corporation,N/A,N/A,N/A,N/A
Incyte Corporation,N/A,N/A,N/A,N/A
Viatris Inc.,N/A,N/A,N/A,N/A
Alliant Energy Corporation,N/A,N/A,N/A,N/A
"Healthpeak Properties, Inc.",N/A,N/A,N/A,N/A
"Domino's Pizza, Inc.",N/A,N/A,N/A,N/A
Jabil Inc.,N/A,N/A,N/A,N/A
Nordson Corporation,N/A,N/A,N/A,N/A
Amcor plc,N/A,N/A,N/A,N/A
"CF Industries Holdings, Inc.",N/A,N/A,N/A,N/A
"Revvity, Inc.",N/A,N/A,N/A,N/A
"Evergy, Inc.",N/A,N/A,N/A,N/A
"F5, Inc.",N/A,N/A,N/A,N/A
"EPAM Systems, Inc.",N/A,N/A,N/A,N/A
"BXP, Inc.",N/A,N/A,N/A,N/A
"Skyworks Solutions, Inc.",N/A,N/A,N/A,N/A
"Akamai Technologies, Inc.",N/A,N/A,N/A,N/A
Pool Corporation,N/A,N/A,N/A,N/A
"Universal Health Services, Inc.",N/A,N/A,N/A,N/A
"Stanley Black & Decker, Inc.",N/A,N/A,N/A,N/A
Regency Centers Corporation,N/A,N/A,N/A,N/A
"Dollar Tree, Inc.",N/A,N/A,N/A,N/A
Aptiv PLC,N/A,N/A,N/A,N/A
"Conagra Brands, Inc.",N/A,N/A,N/A,N/A
