MSCI_Company,MSCI_ESG_Rating,MSCI_Environment_Flag,MSCI_Social_Flag,MSCI_Governance_Flag,MSCI_Customer_Flag,MSCI_Human_Rights_Flag,MSCI_Labor_Rights_Flag
Vulcan Materials Company,A,Yellow,Green,Green,Green,Green,Green
Arch Capital Group Ltd.,A,Green,Green,Green,Green,Green,Green
Sysco Corporation,A,Green,Orange,Green,Green,Green,Orange
"Yum! Brands, Inc.",BBB,Green,Yellow,Yellow,Yellow,Green,Yellow
"Martin Marietta Materials, Inc.",AA,Green,Green,Green,Green,Green,Green
The Hershey Company,A,Green,Yellow,Green,Green,Green,Yellow
ResMed Inc.,A,Green,Green,Green,Green,Green,Green
Microchip Technology Incorporated,A,Green,Green,Green,Green,Green,Green
Nucor Corporation,AA,Green,Green,Green,Green,Green,Green
Extra Space Storage Inc.,BB,Green,Green,Green,Green,Green,Green
HP Inc.,AA,Green,Yellow,Green,Green,Green,Yellow
Las Vegas Sands Corp.,BBB,Green,Green,Green,Green,Green,Green
"General Mills, Inc.",AAA,Green,Yellow,Green,Green,Green,Yellow
"IDEXX Laboratories, Inc.",AAA,Green,Yellow,Green,Yellow,Green,Green
"DuPont de Nemours, Inc.",A,Yellow,Orange,Green,Green,Orange,Orange
Westinghouse Air Brake Technologies Corporation,A,Green,Yellow,Green,Green,Green,Yellow
"The Hartford Financial Services Group, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
Humana Inc.,AA,Green,Yellow,Yellow,Yellow,Green,Green
"Consolidated Edison, Inc.",A,Green,Yellow,Green,Green,Green,Yellow
Iron Mountain Incorporated,AA,Green,Green,Green,Green,Green,Green
Equifax Inc.,BBB,Green,Yellow,Green,Yellow,Green,Green
"Raymond James Financial, Inc.",AA,Green,Green,Green,Green,Green,Green
VICI Properties Inc.,A,Green,Green,Green,Green,Green,Green
"AvalonBay Communities, Inc.",A,Green,Yellow,Green,Yellow,Green,Green
"Brown & Brown, Inc.",BBB,Green,Green,Green,Green,Green,Green
Edison International,A,Green,Orange,Yellow,Yellow,Orange,Green
Entergy Corporation,BBB,Green,Yellow,Yellow,Yellow,Yellow,Green
Willis Towers Watson Public Limited Company,AA,Green,Green,Green,Green,Green,Green
"Take-Two Interactive Software, Inc.",A,Green,Green,Green,Green,Green,Green
Fifth Third Bancorp,A,Green,Orange,Yellow,Orange,Green,Green
Dow Inc.,AA,Yellow,Yellow,Green,Yellow,Yellow,Green
"Rockwell Automation, Inc.",AA,Green,Green,Green,Green,Green,Green
"Monolithic Power Systems, Inc.",BBB,Green,Green,Green,Green,Green,Green
"WEC Energy Group, Inc.",A,Green,Green,Green,Green,Green,Green
"CoStar Group, Inc.",BBB,Green,Yellow,Green,Yellow,Green,Green
Xylem Inc.,AAA,Green,Green,Green,Green,Green,Green
"ANSYS, Inc.",AAA,Green,Green,Green,Green,Green,Green
"Live Nation Entertainment, Inc.",BBB,Green,Yellow,Green,Yellow,Green,Green
ON Semiconductor Corporation,A,Green,Green,Green,Green,Green,Green
"Cardinal Health, Inc.",AA,Green,Green,Orange,Green,Green,Green
Tractor Supply Company,AAA,Green,Green,Green,Green,Green,Green
Global Payments Inc.,BBB,Green,Green,Green,Green,Green,Green
Centene Corporation,AA,Green,Green,Yellow,Green,Green,Green
eBay Inc.,A,Green,Yellow,Green,Yellow,Green,Green
"DexCom, Inc.",A,Green,Green,Green,Green,Green,Green
Equity Residential,BBB,Green,Yellow,Green,Yellow,Green,Green
"PPG Industries, Inc.",AAA,Green,Green,Green,Green,Green,Green
Hewlett Packard Enterprise Company,AAA,Green,Yellow,Green,Green,Green,Yellow
"Keysight Technologies, Inc.",AAA,Green,Green,Green,Green,Green,Green
Kellanova,AAA,Green,Yellow,Green,Green,Green,Yellow
"NVR, Inc.",A,Green,Green,Green,Green,Green,Green
State Street Corporation,AA,Green,Green,Green,Green,Green,Green
Dover Corporation,AA,Green,Green,Green,Green,Green,Green
